#=====================================================
# File created:        Wed-26-Feb-2025-at-08-20-24AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.782408
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.2733  0.2711 
   00001    0.6864   -3794.8075  0.2564 
   00002    0.6172   -4468.3552  0.2618 
   00003    0.5900   -5037.2932  0.2700 
   00004    0.5632   -5493.3445  0.2750 
   00005    0.5472   -5847.5131  0.2772 
   00006    0.5080   -6137.3138  0.2771 
   00007    0.5056   -6372.8141  0.2747 
   00008    0.4908   -6565.6727  0.2751 
   00009    0.4720   -6665.5765  0.2834 
   00010    0.4832   -6789.3704  0.2920 
   00011    0.4780   -6923.2942  0.2914 
   00012    0.4720   -6998.4358  0.2955 
   00013    0.4512   -7094.0875  0.3018 
   00014    0.4656   -7224.7588  0.3053 
   00015    0.4656   -7271.5558  0.3078 
   00016    0.4592   -7357.1196  0.3137 
   00017    0.4480   -7423.9481  0.3124 
   00018    0.4640   -7519.6272  0.3125 
   00019    0.4508   -7561.4098  0.3095 
   00020    0.4372   -7633.1979  0.3078 
   00021    0.4484   -7676.0905  0.3109 
   00022    0.4444   -7693.7170  0.3044 
   00023    0.4432   -7728.2796  0.3084 
   00024    0.4440   -7797.5234  0.3122 
   00025    0.4484   -7832.5980  0.3194 
   00026    0.4156   -7825.3034  0.3213 
   00027    0.4304   -7880.4514  0.3253 
   00028    0.4492   -7895.6113  0.3229 
   00029    0.4264   -7910.9426  0.3199 
   00030    0.4164   -7938.3294  0.3266 
   00031    0.4264   -7952.5187  0.3268 
   00032    0.4288   -7935.5214  0.3242 
   00033    0.4320   -7921.4954  0.3230 
   00034    0.4308   -7906.1338  0.3283 
   00035    0.4432   -7906.6833  0.3265 
   00036    0.4432   -7951.3901  0.3283 
   00037    0.4372   -7913.3752  0.3266 
   00038    0.4416   -7956.2614  0.3367 
   00039    0.4712   -7975.2756  0.3420 
   00040    0.4336   -7985.1850  0.3432 
   00041    0.4432   -7963.4460  0.3370 
   00042    0.4480   -7990.8861  0.3391 
   00043    0.4296   -7999.1864  0.3338 
   00044    0.4248   -7991.9130  0.3286 
   00045    0.4400   -7991.1475  0.3277 
   00046    0.4368   -7956.1655  0.3255 
   00047    0.4340   -8004.1528  0.3272 
   00048    0.4276   -7981.4322  0.3326 
   00049    0.4416   -7993.8399  0.3253 
   00050    0.4216   -8003.3789  0.3249 
