LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.379, Mean ratio: 0.465, Time: 4.340773 s
         1540370 function calls (1524856 primitive calls) in 5.389 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    317/1    0.004    0.000    5.390    5.390 {built-in method builtins.exec}
        1    0.000    0.000    5.390    5.390 LebwohlLasher.py:1(<module>)
        1    0.001    0.001    4.380    4.380 LebwohlLasher.py:278(main)
   377500    2.857    0.000    2.857    0.000 LebwohlLasher.py:152(one_energy)
       50    0.385    0.008    2.576    0.052 LebwohlLasher.py:231(MC_step)
       40    0.002    0.000    1.374    0.034 __init__.py:1(<module>)
    373/3    0.003    0.000    1.010    0.337 <frozen importlib._bootstrap>:1349(_find_and_load)
    369/3    0.002    0.000    1.010    0.337 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    355/4    0.002    0.000    1.006    0.252 <frozen importlib._bootstrap>:911(_load_unlocked)
    302/4    0.001    0.000    1.006    0.252 <frozen importlib._bootstrap_external>:989(exec_module)
    884/7    0.004    0.000    1.005    0.144 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   436/16    0.001    0.000    0.950    0.059 {built-in method builtins.__import__}
       51    0.041    0.001    0.930    0.018 LebwohlLasher.py:186(all_energy)
   455/73    0.001    0.000    0.878    0.012 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       51    0.851    0.017    0.866    0.017 LebwohlLasher.py:203(get_order)
        1    0.000    0.000    0.610    0.610 pyplot.py:1(<module>)
1145/1049    0.023    0.000    0.489    0.000 {built-in method builtins.__build_class__}
      103    0.004    0.000    0.363    0.004 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.358    0.004 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.326    0.326 figure.py:1(<module>)
      114    0.001    0.000    0.280    0.002 artist.py:1839(kwdoc)
      114    0.006    0.000    0.238    0.002 artist.py:1600(pprint_setters)
        1    0.000    0.000    0.232    0.232 colorbar.py:1(<module>)
    94546    0.214    0.000    0.214    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     4144    0.016    0.000    0.194    0.000 artist.py:1469(get_valid_values)
     7176    0.080    0.000    0.151    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.141    0.141 contour.py:1(<module>)
        1    0.000    0.000    0.134    0.134 backend_bases.py:1(<module>)
      367    0.004    0.000    0.129    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     7113    0.008    0.000    0.128    0.000 inspect.py:863(getdoc)
      364    0.000    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      364    0.002    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      625    0.008    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.114    0.114 text.py:1(<module>)
        1    0.000    0.000    0.113    0.113 _axes.py:1(<module>)
        1    0.000    0.000    0.106    0.106 rcsetup.py:1(<module>)
      302    0.003    0.000    0.105    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     1481    0.001    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1492    0.096    0.000    0.096    0.000 {built-in method posix.stat}
      218    0.001    0.000    0.094    0.000 artist.py:1421(__init__)
      218    0.030    0.000    0.092    0.000 artist.py:1441(get_aliases)
        1    0.000    0.000    0.084    0.084 collections.py:1(<module>)
        1    0.000    0.000    0.080    0.080 __config__.py:1(<module>)
      302    0.020    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.074    0.074 axes3d.py:1(<module>)
        1    0.000    0.000    0.069    0.069 patches.py:1(<module>)
        9    0.000    0.000    0.064    0.007 _base.py:732(__init_subclass__)
     6672    0.008    0.000    0.062    0.000 __init__.py:280(_compile)
      218    0.019    0.000    0.060    0.000 artist.py:1519(get_setters)
        1    0.000    0.000    0.058    0.058 _base.py:1(<module>)
        1    0.000    0.000    0.057    0.057 colors.py:1(<module>)
      302    0.056    0.000    0.056    0.000 {built-in method marshal.loads}
     5563    0.004    0.000    0.055    0.000 __init__.py:174(search)
      210    0.001    0.000    0.048    0.000 _compiler.py:740(compile)
        1    0.000    0.000    0.044    0.044 numerictypes.py:1(<module>)
        1    0.000    0.000    0.044    0.044 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.043    0.043 _type_aliases.py:1(<module>)
        3    0.001    0.000    0.042    0.014 core.py:1(<module>)
        1    0.000    0.000    0.041    0.041 art3d.py:1(<module>)
        1    0.000    0.000    0.041    0.041 py3k.py:1(<module>)
      136    0.001    0.000    0.039    0.000 _docstring.py:66(__call__)
      703    0.001    0.000    0.038    0.000 inspect.py:3339(signature)
  126/115    0.000    0.000    0.038    0.000 _docstring.py:107(__call__)
      703    0.001    0.000    0.038    0.000 inspect.py:3077(from_callable)
  834/703    0.005    0.000    0.037    0.000 inspect.py:2497(_signature_from_callable)
  355/353    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.035    0.035 index_tricks.py:1(<module>)
        1    0.001    0.001    0.033    0.033 _axes.py:65(Axes)
        1    0.017    0.017    0.032    0.032 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.032    0.032 geo.py:1(<module>)
        1    0.000    0.000    0.031    0.031 Image.py:1(<module>)
       30    0.004    0.000    0.031    0.001 __init__.py:851(_rc_params_in_file)
        1    0.000    0.000    0.030    0.030 defmatrix.py:1(<module>)
        1    0.000    0.000    0.029    0.029 pathlib.py:1(<module>)
       11    0.000    0.000    0.029    0.003 _docstring.py:79(__missing__)
      210    0.001    0.000    0.028    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.028    0.028 linalg.py:1(<module>)
    48/38    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
    48/38    0.005    0.000    0.027    0.001 {built-in method _imp.exec_dynamic}
      689    0.008    0.000    0.027    0.000 inspect.py:2393(_signature_from_function)
  438/210    0.002    0.000    0.026    0.000 _parser.py:452(_parse_sub)
       48    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
  497/236    0.011    0.000    0.025    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.025    0.025 polar.py:1(<module>)
        1    0.000    0.000    0.024    0.024 _pickle.py:1(<module>)
      438    0.022    0.000    0.022    0.000 {built-in method builtins.dir}
       48    0.020    0.000    0.022    0.000 {built-in method _imp.create_dynamic}
     9617    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
165541/164432    0.021    0.000    0.022    0.000 {built-in method builtins.len}
       94    0.002    0.000    0.021    0.000 __init__.py:1399(_preprocess_data)
        1    0.000    0.000    0.021    0.021 axis.py:1(<module>)
      976    0.001    0.000    0.020    0.000 __init__.py:715(__setitem__)
    93377    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
     6065    0.011    0.000    0.020    0.000 inspect.py:2739(__init__)
      447    0.001    0.000    0.019    0.000 artist.py:1538(number_of_parameters)
        2    0.000    0.000    0.019    0.009 core.py:206(read_style_directory)
        1    0.000    0.000    0.019    0.019 offsetbox.py:1(<module>)
    69356    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    86100    0.018    0.000    0.018    0.000 {method 'lstrip' of 'str' objects}
  400/328    0.001    0.000    0.018    0.000 typing.py:392(inner)
       55    0.000    0.000    0.018    0.000 __init__.py:226(compile)
      210    0.001    0.000    0.018    0.000 _compiler.py:573(_code)
    66821    0.014    0.000    0.017    0.000 {built-in method builtins.isinstance}
      302    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    61320    0.015    0.000    0.015    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.015    0.015 font_manager.py:1(<module>)
        1    0.000    0.000    0.015    0.015 secrets.py:1(<module>)
     4144    0.007    0.000    0.014    0.000 artist.py:1557(aliased_name)
      970    0.001    0.000    0.014    0.000 artist.py:1544(is_alias)
        1    0.000    0.000    0.014    0.014 axis3d.py:1(<module>)
        1    0.000    0.000    0.014    0.014 lines.py:1(<module>)
      798    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.014    0.014 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.014    0.014 <frozen ntpath>:1(<module>)
15926/15917    0.011    0.000    0.014    0.000 {method 'join' of 'str' objects}
      200    0.000    0.000    0.014    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
      100    0.001    0.000    0.013    0.000 pyplot.py:198(_add_pyplot_note)
3417/2982    0.004    0.000    0.013    0.000 {built-in method __new__ of type object at 0x936bc0}
        1    0.000    0.000    0.013    0.013 cm.py:1(<module>)
 1069/210    0.006    0.000    0.012    0.000 _compiler.py:37(_compile)
       48    0.000    0.000    0.012    0.000 __init__.py:1355(_add_data_doc)
        1    0.000    0.000    0.012    0.012 image.py:1(<module>)
15158/15124    0.007    0.000    0.012    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.012    0.012 scale.py:1(<module>)
        1    0.000    0.000    0.011    0.011 quiver.py:1(<module>)
        1    0.000    0.000    0.011    0.011 category.py:1(<module>)
        2    0.000    0.000    0.011    0.006 common.py:1(<module>)
       38    0.001    0.000    0.011    0.000 enum.py:528(__new__)
      917    0.006    0.000    0.011    0.000 inspect.py:3025(__init__)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
        1    0.000    0.000    0.010    0.010 textpath.py:1(<module>)
      369    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
      429    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       51    0.005    0.000    0.010    0.000 linalg.py:1193(eig)
        1    0.000    0.000    0.010    0.010 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.010    0.010 ExifTags.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _parser.py:1(<module>)
        8    0.000    0.000    0.009    0.001 __init__.py:73(import_module)
        8    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
      302    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
      355    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.009    0.009 parse.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ticker.py:1(<module>)
        1    0.001    0.001    0.009    0.009 helpers.py:1(<module>)
     8831    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.008    0.008 __init__.py:32(__enter__)
       18    0.000    0.000    0.008    0.000 rcsetup.py:827(validate_cycler)
