LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.834, Mean ratio : 0.404, Time: 16.600403 s ± 0.000000 s
         2663671 function calls (2648157 primitive calls) in 18.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    317/1    0.005    0.000   18.055   18.055 {built-in method builtins.exec}
        1    0.000    0.000   18.055   18.055 LebwohlLasher.py:1(<module>)
        1    0.011    0.011   16.613   16.613 LebwohlLasher.py:279(main)
  1200400   10.639    0.000   10.639    0.000 LebwohlLasher.py:153(one_energy)
     1000    1.479    0.001    9.744    0.010 LebwohlLasher.py:232(MC_step)
     1001    0.153    0.000    3.460    0.003 LebwohlLasher.py:187(all_energy)
     1001    3.187    0.003    3.397    0.003 LebwohlLasher.py:204(get_order)
       40    0.003    0.000    1.853    0.046 __init__.py:1(<module>)
    373/3    0.004    0.000    1.442    0.481 <frozen importlib._bootstrap>:1349(_find_and_load)
    369/3    0.003    0.000    1.442    0.481 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    355/4    0.002    0.000    1.436    0.359 <frozen importlib._bootstrap>:911(_load_unlocked)
    302/4    0.002    0.000    1.436    0.359 <frozen importlib._bootstrap_external>:989(exec_module)
    884/7    0.004    0.000    1.429    0.204 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   436/16    0.001    0.000    1.328    0.083 {built-in method builtins.__import__}
   455/73    0.001    0.000    1.213    0.017 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.001    0.001    0.842    0.842 pyplot.py:1(<module>)
   319030    0.832    0.000    0.832    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
1145/1049    0.029    0.000    0.633    0.001 {built-in method builtins.__build_class__}
      103    0.007    0.000    0.471    0.005 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.456    0.004 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.453    0.453 figure.py:1(<module>)
      114    0.001    0.000    0.356    0.003 artist.py:1839(kwdoc)
        1    0.000    0.000    0.308    0.308 colorbar.py:1(<module>)
      114    0.008    0.000    0.307    0.003 artist.py:1600(pprint_setters)
     4144    0.020    0.000    0.251    0.000 artist.py:1469(get_valid_values)
      302    0.004    0.000    0.215    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
     7176    0.108    0.000    0.208    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.176    0.176 contour.py:1(<module>)
     7113    0.010    0.000    0.171    0.000 inspect.py:863(getdoc)
      367    0.005    0.000    0.163    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.160    0.160 backend_bases.py:1(<module>)
      302    0.024    0.000    0.155    0.001 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      364    0.001    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      364    0.002    0.000    0.151    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.148    0.148 rcsetup.py:1(<module>)
      625    0.009    0.000    0.145    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.132    0.132 _axes.py:1(<module>)
      302    0.129    0.000    0.129    0.000 {built-in method marshal.loads}
     1001    0.063    0.000    0.124    0.000 linalg.py:1193(eig)
      218    0.001    0.000    0.122    0.001 artist.py:1421(__init__)
        1    0.000    0.000    0.122    0.122 text.py:1(<module>)
     1481    0.001    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1492    0.119    0.000    0.120    0.000 {built-in method posix.stat}
      218    0.036    0.000    0.119    0.001 artist.py:1441(get_aliases)
        1    0.000    0.000    0.113    0.113 collections.py:1(<module>)
        1    0.000    0.000    0.103    0.103 axes3d.py:1(<module>)
        1    0.000    0.000    0.101    0.101 _base.py:1(<module>)
        1    0.000    0.000    0.091    0.091 __config__.py:1(<module>)
     6672    0.009    0.000    0.086    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.082    0.082 colors.py:1(<module>)
      218    0.024    0.000    0.082    0.000 artist.py:1519(get_setters)
     2000    0.047    0.000    0.079    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      210    0.002    0.000    0.069    0.000 _compiler.py:740(compile)
        1    0.050    0.050    0.069    0.069 _distributor_init.py:1(<module>)
        9    0.000    0.000    0.068    0.008 _base.py:732(__init_subclass__)
     5563    0.005    0.000    0.068    0.000 __init__.py:174(search)
        1    0.000    0.000    0.061    0.061 patches.py:1(<module>)
        1    0.000    0.000    0.058    0.058 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.054    0.054 art3d.py:1(<module>)
        3    0.001    0.000    0.053    0.018 core.py:1(<module>)
        1    0.000    0.000    0.051    0.051 Image.py:1(<module>)
  355/353    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      136    0.002    0.000    0.050    0.000 _docstring.py:66(__call__)
    48/38    0.000    0.000    0.050    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
  126/115    0.001    0.000    0.049    0.000 _docstring.py:107(__call__)
    48/38    0.009    0.000    0.049    0.001 {built-in method _imp.exec_dynamic}
      703    0.001    0.000    0.049    0.000 inspect.py:3339(signature)
      703    0.001    0.000    0.048    0.000 inspect.py:3077(from_callable)
  834/703    0.007    0.000    0.048    0.000 inspect.py:2497(_signature_from_callable)
        1    0.000    0.000    0.047    0.047 _pickle.py:1(<module>)
      302    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.045    0.045 numerictypes.py:1(<module>)
        1    0.000    0.000    0.044    0.044 offsetbox.py:1(<module>)
        1    0.000    0.000    0.043    0.043 _type_aliases.py:1(<module>)
       30    0.006    0.000    0.041    0.001 __init__.py:851(_rc_params_in_file)
        1    0.000    0.000    0.041    0.041 py3k.py:1(<module>)
      210    0.001    0.000    0.041    0.000 _parser.py:969(parse)
       11    0.000    0.000    0.040    0.004 _docstring.py:79(__missing__)
        1    0.000    0.000    0.039    0.039 geo.py:1(<module>)
  438/210    0.002    0.000    0.039    0.000 _parser.py:452(_parse_sub)
     3001    0.013    0.000    0.038    0.000 fromnumeric.py:71(_wrapreduction)
     5007    0.038    0.000    0.038    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       48    0.000    0.000    0.037    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
  497/236    0.015    0.000    0.037    0.000 _parser.py:512(_parse)
        1    0.001    0.001    0.037    0.037 _axes.py:65(Axes)
      689    0.011    0.000    0.035    0.000 inspect.py:2393(_signature_from_function)
       48    0.031    0.001    0.034    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.033    0.033 polar.py:1(<module>)
      302    0.033    0.000    0.033    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.032    0.032 axis.py:1(<module>)
     2000    0.004    0.000    0.031    0.000 fromnumeric.py:2979(prod)
       55    0.000    0.000    0.031    0.001 __init__.py:226(compile)
        1    0.000    0.000    0.031    0.031 lines.py:1(<module>)
    72207    0.030    0.000    0.031    0.000 {built-in method builtins.getattr}
      200    0.001    0.000    0.031    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
     9617    0.030    0.000    0.030    0.000 {method 'search' of 're.Pattern' objects}
      100    0.004    0.000    0.029    0.000 pyplot.py:198(_add_pyplot_note)
        1    0.000    0.000    0.029    0.029 pathlib.py:1(<module>)
166491/165382    0.028    0.000    0.029    0.000 {built-in method builtins.len}
      438    0.029    0.000    0.029    0.000 {built-in method builtins.dir}
      447    0.001    0.000    0.029    0.000 artist.py:1538(number_of_parameters)
        1    0.000    0.000    0.029    0.029 index_tricks.py:1(<module>)
        1    0.000    0.000    0.026    0.026 secrets.py:1(<module>)
    93377    0.026    0.000    0.026    0.000 {method 'startswith' of 'str' objects}
      976    0.001    0.000    0.026    0.000 __init__.py:715(__setitem__)
      210    0.001    0.000    0.026    0.000 _compiler.py:573(_code)
       94    0.002    0.000    0.025    0.000 __init__.py:1399(_preprocess_data)
    86100    0.025    0.000    0.025    0.000 {method 'lstrip' of 'str' objects}
     6065    0.014    0.000    0.025    0.000 inspect.py:2739(__init__)
     1001    0.014    0.000    0.024    0.000 shape_base.py:219(vstack)
      970    0.001    0.000    0.024    0.000 artist.py:1544(is_alias)
     1001    0.004    0.000    0.024    0.000 linalg.py:215(_assert_finite)
     1001    0.021    0.000    0.023    0.000 numeric.py:67(zeros_like)
        1    0.000    0.000    0.023    0.023 axis3d.py:1(<module>)
     1000    0.022    0.000    0.022    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
        2    0.000    0.000    0.022    0.011 core.py:206(read_style_directory)
    67775    0.016    0.000    0.022    0.000 {built-in method builtins.isinstance}
4367/3932    0.008    0.000    0.022    0.000 {built-in method __new__ of type object at 0x936bc0}
    61320    0.021    0.000    0.021    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.020    0.020 defmatrix.py:1(<module>)
      798    0.006    0.000    0.020    0.000 <frozen importlib._bootstrap>:304(acquire)
 1069/210    0.007    0.000    0.020    0.000 _compiler.py:37(_compile)
     1001    0.003    0.000    0.019    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.019    0.019 artist.py:1(<module>)
15926/15917    0.016    0.000    0.019    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.019    0.019 font_manager.py:1(<module>)
        1    0.000    0.000    0.019    0.019 linalg.py:1(<module>)
       38    0.002    0.000    0.018    0.000 enum.py:528(__new__)
16111/16077    0.011    0.000    0.018    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.018    0.018 ExifTags.py:1(<module>)
     1002    0.015    0.000    0.018    0.000 twodim_base.py:158(eye)
     4144    0.008    0.000    0.017    0.000 artist.py:1557(aliased_name)
        1    0.000    0.000    0.017    0.017 quiver.py:1(<module>)
     1001    0.001    0.000    0.017    0.000 _methods.py:61(_all)
        1    0.000    0.000    0.017    0.017 image.py:1(<module>)
        1    0.000    0.000    0.016    0.016 textpath.py:1(<module>)
        1    0.000    0.000    0.016    0.016 category.py:1(<module>)
     8831    0.016    0.000    0.016    0.000 {method 'split' of 'str' objects}
  400/328    0.001    0.000    0.016    0.000 typing.py:392(inner)
      917    0.010    0.000    0.015    0.000 inspect.py:3025(__init__)
        2    0.000    0.000    0.015    0.007 common.py:1(<module>)
     1001    0.003    0.000    0.014    0.000 fromnumeric.py:2421(all)
      429    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       48    0.000    0.000    0.014    0.000 __init__.py:1355(_add_data_doc)
        1    0.000    0.000    0.014    0.014 shutil.py:1(<module>)
      369    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:416(__enter__)
      435    0.008    0.000    0.013    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.013    0.013 _parser.py:1(<module>)
        2    0.000    0.000    0.013    0.006 version.py:1(<module>)
        1    0.000    0.000    0.013    0.013 multiarray.py:1(<module>)
        1    0.001    0.001    0.013    0.013 helpers.py:1(<module>)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
        2    0.000    0.000    0.012    0.006 ElementTree.py:1(<module>)
    38184    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.012    0.012 cm.py:1(<module>)
        1    0.000    0.000    0.012    0.012 subprocess.py:1(<module>)
      355    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        8    0.000    0.000    0.012    0.001 __init__.py:73(import_module)
