LebwohlLasher.py: Size: 50, Steps: 50, Exp. reps: 1, T*: 0.500: Order: 0.427, Mean ratio : 0.466, Time: 2.821494 s ± 0.000000 s
         1445791 function calls (1430277 primitive calls) in 3.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    317/1    0.003    0.000    3.523    3.523 {built-in method builtins.exec}
        1    0.000    0.000    3.523    3.523 LebwohlLasher.py:1(<module>)
        1    0.001    0.001    2.849    2.849 LebwohlLasher.py:283(main)
   377500    1.977    0.000    1.977    0.000 LebwohlLasher.py:155(one_energy)
       50    0.253    0.005    1.615    0.032 LebwohlLasher.py:234(MC_step)
       40    0.001    0.000    0.891    0.022 __init__.py:1(<module>)
    373/3    0.002    0.000    0.675    0.225 <frozen importlib._bootstrap>:1349(_find_and_load)
    369/3    0.001    0.000    0.674    0.225 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    355/4    0.001    0.000    0.671    0.168 <frozen importlib._bootstrap>:911(_load_unlocked)
    302/4    0.001    0.000    0.671    0.168 <frozen importlib._bootstrap_external>:989(exec_module)
    884/7    0.002    0.000    0.671    0.096 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       51    0.029    0.001    0.652    0.013 LebwohlLasher.py:189(all_energy)
   436/16    0.000    0.000    0.630    0.039 {built-in method builtins.__import__}
       51    0.567    0.011    0.578    0.011 LebwohlLasher.py:206(get_order)
   455/73    0.001    0.000    0.573    0.008 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.402    0.402 pyplot.py:1(<module>)
1145/1049    0.013    0.000    0.306    0.000 {built-in method builtins.__build_class__}
      103    0.003    0.000    0.231    0.002 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.228    0.002 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.208    0.208 figure.py:1(<module>)
      114    0.000    0.000    0.177    0.002 artist.py:1839(kwdoc)
        1    0.000    0.000    0.155    0.155 colorbar.py:1(<module>)
      114    0.004    0.000    0.151    0.001 artist.py:1600(pprint_setters)
     4144    0.010    0.000    0.123    0.000 artist.py:1469(get_valid_values)
      367    0.002    0.000    0.106    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      364    0.000    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      364    0.001    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      625    0.004    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     7176    0.052    0.000    0.097    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.092    0.092 contour.py:1(<module>)
        1    0.000    0.000    0.087    0.087 backend_bases.py:1(<module>)
     1492    0.086    0.000    0.086    0.000 {built-in method posix.stat}
     1481    0.001    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     7113    0.005    0.000    0.083    0.000 inspect.py:863(getdoc)
      302    0.002    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.077    0.077 rcsetup.py:1(<module>)
        1    0.000    0.000    0.074    0.074 text.py:1(<module>)
        1    0.000    0.000    0.070    0.070 _axes.py:1(<module>)
      302    0.015    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      218    0.000    0.000    0.060    0.000 artist.py:1421(__init__)
      218    0.019    0.000    0.059    0.000 artist.py:1441(get_aliases)
        1    0.000    0.000    0.056    0.056 collections.py:1(<module>)
      302    0.048    0.000    0.048    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.046    0.046 axes3d.py:1(<module>)
        1    0.000    0.000    0.046    0.046 _base.py:1(<module>)
        1    0.000    0.000    0.042    0.042 patches.py:1(<module>)
     6672    0.005    0.000    0.040    0.000 __init__.py:280(_compile)
      218    0.012    0.000    0.039    0.000 artist.py:1519(get_setters)
        1    0.000    0.000    0.039    0.039 colors.py:1(<module>)
        1    0.000    0.000    0.039    0.039 __config__.py:1(<module>)
     5563    0.003    0.000    0.035    0.000 __init__.py:174(search)
        9    0.000    0.000    0.035    0.004 _base.py:732(__init_subclass__)
        1    0.000    0.000    0.032    0.032 _fontconfig_pattern.py:1(<module>)
      210    0.001    0.000    0.032    0.000 _compiler.py:740(compile)
        3    0.001    0.000    0.030    0.010 core.py:1(<module>)
