run_LL.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.818, Mean ratio : 0.410, Time: 3.430115 s ± 0.000000 s
         1135378 function calls (1119755 primitive calls) in 4.512 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    317/1    0.003    0.000    4.514    4.514 {built-in method builtins.exec}
        1    3.337    3.337    4.514    4.514 run_LL.py:1(<module>)
       40    0.002    0.000    1.427    0.036 __init__.py:1(<module>)
    374/1    0.002    0.000    1.066    1.066 <frozen importlib._bootstrap>:1349(_find_and_load)
    370/1    0.002    0.000    1.066    1.066 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    356/1    0.001    0.000    1.065    1.065 <frozen importlib._bootstrap>:911(_load_unlocked)
    887/3    0.002    0.000    1.065    0.355 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     49/1    0.000    0.000    1.048    1.048 <frozen importlib._bootstrap_external>:1295(exec_module)
     49/1    0.005    0.000    1.048    1.048 {built-in method _imp.exec_dynamic}
    302/4    0.001    0.000    1.045    0.261 <frozen importlib._bootstrap_external>:989(exec_module)
   436/16    0.000    0.000    0.988    0.062 {built-in method builtins.__import__}
   455/73    0.001    0.000    0.910    0.012 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.520    0.520 pyplot.py:1(<module>)
1145/1049    0.014    0.000    0.315    0.000 {built-in method builtins.__build_class__}
      302    0.003    0.000    0.289    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.246    0.246 figure.py:1(<module>)
      103    0.003    0.000    0.232    0.002 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.228    0.002 artist.py:126(__init_subclass__)
      302    0.001    0.000    0.208    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      302    0.201    0.001    0.201    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.200    0.200 colorbar.py:1(<module>)
