LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.806, Mean ratio : 0.410, Time: 3.863962 s ± 0.000000 s
         9130968 function calls (8727914 primitive calls) in 12.694 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    789/1    0.012    0.000   12.702   12.702 {built-in method builtins.exec}
        1    0.008    0.008   11.119   11.119 LebwohlLasher.py:284(main)
        2    0.000    0.000    7.251    3.626 dispatcher.py:343(_compile_for_args)
     87/2    0.002    0.000    7.106    3.553 dispatcher.py:859(compile)
     25/2    0.000    0.000    7.105    3.553 dispatcher.py:79(compile)
     25/2    0.000    0.000    7.105    3.553 dispatcher.py:86(_compile_cached)
     25/2    0.001    0.000    7.105    3.553 dispatcher.py:101(_compile_core)
     25/2    0.000    0.000    7.104    3.552 compiler.py:718(compile_extra)
 1321/301    0.007    0.000    6.734    0.022 compiler_lock.py:32(_acquire_compile_lock)
     36/2    0.001    0.000    6.698    3.349 compiler.py:432(compile_extra)
     36/2    0.000    0.000    6.696    3.348 compiler.py:501(_compile_bytecode)
     36/2    0.001    0.000    6.696    3.348 compiler.py:455(_compile_core)
     36/2    0.006    0.000    6.694    3.347 compiler_machinery.py:342(run)
   936/52    0.045    0.000    6.691    0.129 compiler_machinery.py:268(_runPass)
 2808/156    0.007    0.000    6.642    0.043 compiler_machinery.py:272(check)
     36/7    0.001    0.000    4.881    0.697 typed_passes.py:105(run_pass)
     36/7    0.002    0.000    4.880    0.697 typed_passes.py:68(type_inference_stage)
     36/7    0.002    0.000    4.860    0.694 typeinfer.py:1072(propagate)
    74/15    0.007    0.000    4.860    0.324 typeinfer.py:147(propagate)
  630/334    0.023    0.000    4.832    0.014 functions.py:281(get_call_type)
  576/267    0.008    0.000    4.806    0.018 typeinfer.py:585(resolve)
  576/267    0.001    0.000    4.792    0.018 typeinfer.py:1539(resolve_call)
  602/271    0.001    0.000    4.791    0.018 context.py:189(resolve_function_type)
  602/271    0.004    0.000    4.790    0.018 context.py:233(_resolve_user_function_type)
    36/23    0.004    0.000    4.758    0.207 typed_passes.py:437(run_pass)
2465/1210    0.008    0.000    4.744    0.004 templates.py:348(apply)
   269/83    0.004    0.000    4.687    0.056 typeinfer.py:575(__call__)
  590/217    0.002    0.000    4.669    0.022 templates.py:606(generic)
  590/217    0.005    0.000    4.664    0.021 templates.py:697(_get_impl)
    55/15    0.001    0.000    4.643    0.310 templates.py:748(_build_impl)
    85/19    0.001    0.000    4.641    0.244 functions.py:534(get_call_type)
    85/19    0.001    0.000    4.640    0.244 dispatcher.py:303(get_call_template)
     1000    1.861    0.002    3.269    0.003 LebwohlLasher.py:237(MC_step)
    36/23    0.001    0.000    3.033    0.132 lowering.py:182(lower)
    36/23    0.002    0.000    2.737    0.119 lowering.py:218(lower_normal_function)
    36/23    0.001    0.000    2.713    0.118 lowering.py:235(lower_function_body)
   147/82    0.008    0.000    2.710    0.033 lowering.py:260(lower_block)
1888/1167    0.013    0.000    2.689    0.002 lowering.py:442(lower_inst)
  820/523    0.003    0.000    2.554    0.005 lowering.py:650(lower_assign)
  434/306    0.003    0.000    2.518    0.008 lowering.py:1170(lower_expr)
       90    0.005    0.000    2.463    0.027 __init__.py:1(<module>)
    15258    1.707    0.000    2.042    0.000 ffi.py:190(__call__)
  280/196    0.001    0.000    1.930    0.010 base.py:1189(__call__)
  280/196    0.001    0.000    1.928    0.010 base.py:1218(wrapper)
    26/24    0.001    0.000    1.921    0.080 base.py:847(compile_subroutine)
    11/10    0.001    0.000    1.919    0.192 base.py:809(_compile_subroutine_no_cache)
 1215/405    0.010    0.000    1.845    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
   850/47    0.006    0.000    1.841    0.039 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  2071/60    0.004    0.000    1.830    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   822/48    0.004    0.000    1.829    0.038 <frozen importlib._bootstrap>:911(_load_unlocked)
   729/48    0.003    0.000    1.827    0.038 <frozen importlib._bootstrap_external>:989(exec_module)
    23/21    0.000    0.000    1.822    0.087 base.py:876(compile_internal)
       37    0.001    0.000    1.792    0.048 codegen.py:739(finalize)
  213/132    0.000    0.000    1.778    0.013 codegen.py:565(_ensure_finalized)
     1001    0.303    0.000    1.766    0.002 LebwohlLasher.py:190(all_energy)
   653/68    0.002    0.000    1.727    0.025 {built-in method builtins.__import__}
15443/14448    0.022    0.000    1.680    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    11/10    0.000    0.000    1.656    0.166 compiler.py:811(compile_internal)
  124/103    0.001    0.000    1.581    0.015 lowering.py:900(lower_call)
   111/95    0.001    0.000    1.569    0.017 lowering.py:1142(_lower_call_normal)
       25    0.001    0.000    1.508    0.060 cpu.py:225(get_executable)
       25    0.000    0.000    1.500    0.060 codegen.py:975(get_pointer_to_function)
    24/16    0.000    0.000    1.132    0.071 functions.py:389(get_call_type)
    12/10    0.000    0.000    1.132    0.113 templates.py:1129(generic)
    18/15    0.000    0.000    1.130    0.075 templates.py:1075(_get_signature)
       37    0.001    0.000    1.071    0.029 codegen.py:781(_finalize_final_module)
       37    0.000    0.000    0.918    0.025 codegen.py:996(_finalize_specific)
       65    0.000    0.000    0.849    0.013 codegen.py:1058(wrapper)
       37    0.000    0.000    0.847    0.023 executionengine.py:94(finalize_object)
     1022    0.006    0.000    0.829    0.001 pprint.py:57(pformat)
     1022    0.005    0.000    0.821    0.001 pprint.py:159(pformat)
24235/1022    0.050    0.000    0.815    0.001 pprint.py:171(_format)
   317892    0.786    0.000    0.786    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
  1200400    0.775    0.000    0.775    0.000 LebwohlLasher.py:154(one_energy)
        1    0.001    0.001    0.658    0.658 pyplot.py:1(<module>)
3397/3297    0.066    0.000    0.646    0.000 {built-in method builtins.__build_class__}
       37    0.001    0.000    0.623    0.017 codegen.py:667(_optimize_final_module)
       74    0.000    0.000    0.621    0.008 passmanagers.py:681(run)
       61    0.003    0.000    0.585    0.010 codegen.py:723(add_ir_module)
      986    0.007    0.000    0.578    0.001 pprint.py:209(_pprint_dict)
        1    0.000    0.000    0.537    0.537 arrayobj.py:2227(array_ravel)
      324    0.010    0.000    0.492    0.002 postproc.py:71(run)
       36    0.002    0.000    0.475    0.013 compiler.py:390(__init__)
        1    0.000    0.000    0.458    0.458 arrayobj.py:6031(codegen)
        2    0.000    0.000    0.457    0.228 arrayobj.py:2141(array_reshape_vararg)
        2    0.000    0.000    0.457    0.228 arrayobj.py:2076(array_reshape)
  384/138    0.001    0.000    0.414    0.003 base.py:261(refresh)
    45671    0.043    0.000    0.413    0.000 pprint.py:457(_repr)
2475/1567    0.007    0.000    0.401    0.000 functools.py:977(__get__)
      103    0.005    0.000    0.401    0.004 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.391    0.004 artist.py:126(__init_subclass__)
    92/82    0.003    0.000    0.387    0.005 lowering.py:726(lower_binop)
        3    0.000    0.000    0.378    0.126 array_exprs.py:354(_lower_array_expr)
159123/27751    0.237    0.000    0.365    0.000 ir.py:318(_rec_list_vars)
90461/45671    0.058    0.000    0.355    0.000 pprint.py:466(format)
    15103    0.251    0.000    0.339    0.000 {built-in method builtins.sorted}
      384    0.011    0.000    0.337    0.001 cpu.py:60(load_additional_registries)
    23143    0.015    0.000    0.328    0.000 ir.py:351(list_vars)
      986    0.047    0.000    0.327    0.000 pprint.py:380(_format_dict_items)
90461/45671    0.119    0.000    0.326    0.000 pprint.py:554(_safe_repr)
      114    0.001    0.000    0.304    0.003 artist.py:1839(kwdoc)
        1    0.000    0.000    0.303    0.303 figure.py:1(<module>)
        1    0.000    0.000    0.300    0.300 colorbar.py:1(<module>)
      307    0.002    0.000    0.290    0.001 typeinfer.py:704(__call__)
      191    0.001    0.000    0.284    0.001 module.py:233(__repr__)
       22    0.001    0.000    0.284    0.013 lowering.py:286(create_cfunc_wrapper)
       22    0.001    0.000    0.283    0.013 cpu.py:193(create_cfunc_wrapper)
      107    0.000    0.000    0.278    0.003 codegen.py:719(add_linking_library)
      729    0.009    0.000    0.278    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      191    0.002    0.000    0.278    0.001 module.py:207(_get_body_lines)
  1048814    0.215    0.000    0.274    0.000 {built-in method builtins.isinstance}
57682/55282    0.036    0.000    0.272    0.000 {built-in method builtins.next}
      540    0.001    0.000    0.264    0.000 values.py:1013(__str__)
